employee_id,policy,acknowledged,ack_ts
E0001,IT Security 2025,Y,2025-01-28 00:00:00
E0002,IT Security 2025,Y,2025-02-06 00:00:00
E0003,Code of Conduct 2025,N,
E0004,Anti-Harassment 2025,Y,2025-02-07 00:00:00
E0005,IT Security 2025,Y,
E0006,Anti-Harassment 2025,Y,2025-01-22 00:00:00
E0007,Anti-Harassment 2025,Y,2025-01-14 00:00:00
E0008,Anti-Harassment 2025,N,2025-02-01 00:00:00
E0009,Code of Conduct 2025,Y,2025-02-01 00:00:00
E0010,Code of Conduct 2025,Y,2025-01-10 00:00:00
E0011,Anti-Harassment 2025,N,
E0012,Code of Conduct 2025,Y,2025-02-08 00:00:00
E0013,IT Security 2025,Y,2025-01-26 00:00:00
E0014,IT Security 2025,Y,2025-01-22 00:00:00
E0015,Anti-Harassment 2025,Y,
E0016,Anti-Harassment 2025,Y,2025-01-18 00:00:00
E0017,Anti-Harassment 2025,Y,2025-01-20 00:00:00
E0018,Code of Conduct 2025,Y,2025-02-01 00:00:00
E0019,Anti-Harassment 2025,Y,2025-01-14 00:00:00
E0020,Anti-Harassment 2025,Y,
E0021,IT Security 2025,Y,2025-01-25 00:00:00
E0022,IT Security 2025,Y,
E0023,Code of Conduct 2025,Y,2025-02-06 00:00:00
E0024,Anti-Harassment 2025,Y,2025-01-12 00:00:00
E0025,Code of Conduct 2025,N,2025-02-05 00:00:00
E0026,Code of Conduct 2025,Y,2025-01-13 00:00:00
E0027,IT Security 2025,Y,2025-02-03 00:00:00
E0028,IT Security 2025,Y,
E0029,Code of Conduct 2025,N,2025-02-08 00:00:00
E0030,IT Security 2025,Y,2025-01-23 00:00:00
E0031,Anti-Harassment 2025,N,
E0032,Code of Conduct 2025,Y,2025-01-21 00:00:00
E0033,Code of Conduct 2025,Y,2025-01-22 00:00:00
E0034,IT Security 2025,N,
E0035,Code of Conduct 2025,Y,2025-01-13 00:00:00
E0036,Code of Conduct 2025,Y,2025-02-01 00:00:00
E0037,Anti-Harassment 2025,Y,2025-01-18 00:00:00
E0038,IT Security 2025,Y,2025-01-25 00:00:00
E0039,IT Security 2025,N,2025-01-14 00:00:00
E0040,Code of Conduct 2025,Y,2025-01-31 00:00:00
E0041,IT Security 2025,N,2025-01-20 00:00:00
E0042,IT Security 2025,N,
E0043,IT Security 2025,N,2025-01-10 00:00:00
E0044,Code of Conduct 2025,Y,
E0045,IT Security 2025,Y,
